Port;Transport;Protocol;
393;TCP, UDP;Data Interpretation System.;
394;TCP, UDP;EMBL Nucleic Data Transfer.;
395;TCP, UDP;NETscout Control Protocol.;
396;TCP, UDP;Novell Netware over IP.;
397;TCP, UDP;Multi Protocol Trans. Net.;
398;TCP, UDP;Kryptolan.;
399;TCP;TP2 encapsulation.;
400;TCP, UDP;Oracle Secure Backup.;
401;TCP, UDP;Uninterruptible Power Supply.;
402;TCP, UDP;Genie Protocol.;
403;TCP, UDP;decap.;
404;TCP, UDP;nced.;
405;TCP, UDP;ncld.;
406;TCP, UDP;Interactive Mail Support Protocol.;
407;TCP, UDP;Timbuktu.;
408;TCP, UDP;Prospero Resource Manager System Manager.;
409;TCP, UDP;Prospero Resource Manager Node Manager.;
410;TCP, UDP;DEC Ladebug Remote Debug Protocol.;
411;TCP, UDP;Remote MT Protocol.;
412;TCP, UDP;Trap Convention Port.;
413;TCP, UDP;SMSP.;
414;TCP, UDP;InfoSeek.;
415;TCP, UDP;BNet.;
416;TCP, UDP;Silverplatter.;
417;TCP, UDP;Onmux.;
418;TCP, UDP;Hyper-G.;
419;TCP, UDP;Ariel.;
420;TCP, UDP;SMPTE.;
421;TCP, UDP;Ariel.;
422;TCP, UDP;Ariel.;
423;TCP, UDP;IBM Operations Planning and Control Start.;
424;TCP, UDP;IBM Operations Planning and Control Track.;
425;TCP, UDP;ICAD.;
426;TCP, UDP;smartsdp;
427;TCP,  UDP;SLP, Service Location Protocol.;
428;TCP, UDP;OCS_CMU.;
429;TCP, UDP;OCS_AMU;
430;TCP, UDP;UTMPSD;
431;TCP, UDP;UTMPCD;
432;TCP, UDP;IASD;
433;TCP, UDP;NNSP;
434;UDP;Mobile IP agent.;
435;TCP, UDP;Mobile IP MN.;
436;TCP, UDP;DNA-CML;
437;TCP, UDP;comscm;
438;TCP, UDP;dsfgw;
439;TCP, UDP;dasp;
440;TCP, UDP;sgcp;
441;TCP, UDP;decvms-sysmgt;
442;TCP, UDP;cvc_hostd;
443;TCP;HTTPS, HTTP over SSL/TLS.;
444;TCP, UDP;SNPP, Simple Network Paging Protocol.;
445;TCP, UDP;Microsoft-DS.;
446;TCP, UDP;DDM-RDB;
447;TCP, UDP;DDM-RFM;
448;TCP, UDP;DDM-SSL;
449;TCP, UDP;AS Server Mapper;
450;TCP, UDP;TServer;
451;TCP, UDP;Cray Network Semaphore server;
452;TCP, UDP;Cray SFS config server;
453;TCP, UDP;CreativeServer;
454;TCP, UDP;ContentServer;
455;TCP, UDP;CreativePartnr;
456;TCP, UDP;macon-tcp;
457;TCP, UDP;scohelp;
458;TCP, UDP;apple quick time;
459;TCP, UDP;ampr-rcmd;
460;TCP, UDP;skronk;
461;TCP, UDP;DataRampSrv;
462;TCP, UDP;DataRampSrvSec;
463;TCP, UDP;alpes;
464;TCP,  UDP;Kerberos change/set password.;
465;TCP;URL Rendesvous Directory for SSM.;
465;UDP;IGMP over UDP for SSM.;
466;TCP, UDP;digital-vrc;
467;TCP, UDP;mylex-mapd;
468;UDP;Photuris.;
469;TCP, UDP;Radio Control Protocol.;
470;TCP, UDP;scx-proxy;
471;TCP, UDP;Mondex.;
472;TCP, UDP;ljk-login.;
473;TCP, UDP;hybrid-pop.;
474;TCP;tn-tl-w1.;
474;UDP;tn-tl-w2.;
475;TCP, UDP;tcpnethaspsrv.;
476;TCP, UDP;tn-tl-fd1.;
477;TCP, UDP;ss7ns.;
478;TCP, UDP;spsc.;
479;TCP, UDP;iafserver.;
480;TCP, UDP;iafdbase.;
481;TCP, UDP;Ph service.;
482;TCP, UDP;bgs-nsi.;
483;TCP, UDP;ulpnet.;
484;TCP, UDP;Integra Software Management Environment.;
485;TCP, UDP;Air Soft Power Burst.;
486;TCP, UDP;Avian.;
487;TCP, UDP;SAFT, Simple Asynchronous File Transfer.;
488;TCP, UDP;gss-http.;
489;TCP, UDP;nest-protocol.;
490;TCP, UDP;micom-pfs.;
491;TCP, UDP;go-login.;
