Port;Transport;Protocol;
1815;TCP, UDP;MMPFT.;
1816;TCP, UDP;HARP.;
1817;TCP, UDP;RKB-OSCS.;
1818;TCP, UDP;ETFTP, Enhanced Trivial File Transfer Protocol.;
1819;TCP, UDP;Plato License Manager.;
1820;TCP, UDP;mcagent.;
1821;TCP, UDP;donnyworld.;
1822;TCP, UDP;es-elmd.;
1823;TCP, UDP;Unisys Natural Language License Manager.;
1824;TCP, UDP;metrics-pas.;
1825;TCP, UDP;DirecPC Video.;
1826;TCP, UDP;ARDT.;
1827;TCP, UDP;ASI.;
1828;TCP, UDP;itm-mcell-u.;
1829;TCP, UDP;Optika eMedia.;
1830;TCP, UDP;Oracle Net8 CMan Admin.;
1831;TCP, UDP;Myrtle.;
1832;TCP, UDP;ThoughtTreasure.;
1833;TCP, UDP;udpradio.;
1834;TCP, UDP;ARDUS Unicast.;
1835;TCP, UDP;ARDUS Multicast.;
1836;TCP, UDP;ste-smsc.;
1837;TCP, UDP;csoft1.;
1838;TCP, UDP;TALNET.;
1839;TCP, UDP;netopia-vo1.;
1840;TCP, UDP;netopia-vo2.;
1841;TCP, UDP;netopia-vo3.;
1842;TCP, UDP;netopia-vo4.;
1843;TCP, UDP;netopia-vo5.;
1844;TCP, UDP;DirecPC-DLL.;
1845;TCP, UDP;altalink.;
1846;TCP, UDP;Tunstall PNC.;
1847;TCP, UDP;SLP Notification.;
1848;TCP, UDP;fjdocdist.;
1849;TCP, UDP;ALPHA-SMS.;
1850;TCP, UDP;GSI.;
1851;TCP, UDP;ctcd.;
1852;TCP, UDP;Virtual Time.;
1853;TCP, UDP;VIDS-AVTP.;
1854;TCP, UDP;Buddy Draw.;
1855;TCP, UDP;Fiorano RtrSvc.;
1856;TCP, UDP;Fiorano MsgSvc.;
1857;TCP, UDP;DataCaptor.;
1858;TCP, UDP;PrivateArk.;
1859;TCP, UDP;Gamma Fetcher Server.;
1860;TCP, UDP;Sun SCALAR Services.;
1861;TCP, UDP;LeCroy VICP.;
1862;TCP, UDP;techra-server. MySQL Cluster Manager Agent.;
1863;TCP, UDP;MSNP.;
1864;TCP, UDP;Paradym 31 Port.;
1865;TCP, UDP;ENTP.;
1866;TCP, UDP;swrmi.;
1867;TCP, UDP;UDRIVE.;
1868;TCP, UDP;VizibleBrowser.;
1869;TCP, UDP;YesTrader.;
1870;TCP, UDP;Sun SCALAR DNS Service.;
1871;TCP, UDP;Cano Central 0.;
1872;TCP, UDP;Cano Central 1.;
1873;TCP, UDP;Fjmpjps.;
1874;TCP, UDP;Fjswapsnp.;
1875;TCP, UDP;westell stats.;
1876;TCP, UDP;ewcappsrv.;
1877;TCP, UDP;hp-webqosdb.;
1878;TCP, UDP;drmsmc.;
1879;TCP, UDP;NettGain NMS.;
1880;TCP, UDP;Gilat VSAT Control.;
1881;TCP, UDP;IBM MQSeries.;
1882;TCP, UDP;ecsqdmn.;
1883;TCP, UDP;IBM MQSeries SCADA.;
1884;TCP, UDP;Internet Distance Map Svc.;
1885;TCP, UDP;Veritas Trap Server.;
1886;TCP, UDP;Leonardo over IP.;
1887;TCP, UDP;FileX Listening Port.;
1888;TCP, UDP;NC Config Port.;
1889;TCP, UDP;Unify Web Adapter Service.;
1890;TCP, UDP;wilkenListener.;
1891;TCP, UDP;ChildKey Notification.;
1892;TCP, UDP;ChildKey Control.;
1893;TCP, UDP;ELAD Protocol.;
1894;TCP, UDP;O2Server Port.;
1895;TCP, UDP;Vista 4GL, Microsoft (unoffically).;
1896;TCP, UDP;b-novative license server.;
1897;TCP, UDP;MetaAgent.;
1898;TCP, UDP;Cymtec secure management.;
1899;TCP, UDP;MC2Studios.;
1900;TCP, UDP;SSDP.;
1901;TCP, UDP;Fujitsu ICL Terminal Emulator Program A.;
1902;TCP, UDP;Fujitsu ICL Terminal Emulator Program B.;
1903;TCP, UDP;Local Link Name Resolution.;
1904;TCP, UDP;Fujitsu ICL Terminal Emulator Program C.;
1905;TCP, UDP;Secure UP.Link Gateway Protocol.;
1906;TCP, UDP;TPortMapperReq.;
1907;TCP, UDP;IntraSTAR.;
1908;TCP, UDP;Dawn.;
1909;TCP, UDP;Global World Link.;
1910;TCP, UDP;ultrabac.;
1911;TCP, UDP;Starlight Networks Multimedia Transport Protocol.;
1912;TCP, UDP;rhp-iibp.;
1913;TCP, UDP;armadp.;
1914;TCP, UDP;Elm-Momentum.;
1915;TCP, UDP;FACELINK.;
1916;TCP, UDP;Persoft Persona.;
1917;TCP, UDP;nOAgent.;
1918;TCP, UDP;Candle Directory Service - NDS.;
1919;TCP, UDP;Candle Directory Service - DCH.;
1920;TCP, UDP;Candle Directory Service - FERRET.;
1921;TCP, UDP;NoAdmin.;
1922;TCP, UDP;Tapestry.;
1923;TCP, UDP;SPICE.;
1924;TCP, UDP;XIIP.;
1925;TCP, UDP;Surrogate Discovery.;
1926;TCP, UDP;Evolution Game Server.;
1927;TCP, UDP;Videte CIPC Port.;
1928;TCP, UDP;Expnd Maui Srvr Dscovr.;
1929;TCP, UDP;Bandwiz System - Server.;
1930;TCP, UDP;Drive AppServer.;
1931;TCP, UDP;AMD SCHED.;
1932;TCP, UDP;CTT Broker.;
1933;TCP, UDP;IBM LM MT Agent.;
1934;TCP, UDP;IBM LM Appl Agent.;
1935;TCP, UDP;TinCan.;
1936;TCP, UDP;JetCmeServer Server.;
1937;TCP, UDP;JetVWay Server.;
1938;TCP, UDP;JetVWay Client.;
1939;TCP, UDP;JetVision Server.;
1940;TCP, UDP;JetVision Client.;
1941;TCP, UDP;DIC-Aida.;
1942;TCP, UDP;Real Enterprise Service.;
1943;TCP, UDP;Beeyond Media.;
1944;TCP, UDP;Microsoft Close Combat.;
1945;TCP, UDP;dialogic-elmd.;
1946;TCP, UDP;tekpls.;
1947;TCP, UDP;SentinelSRM.;
1948;TCP, UDP;eye2eye.;
1949;TCP, UDP;ISMA Easdaq Live.;
1950;TCP, UDP;ISMA Easdaq Test.;
1951;TCP, UDP;bcs-lmserver.;
1952;TCP, UDP;mpnjsc.;
1953;TCP, UDP;Rapid Base.;
1954;TCP, UDP;ABR-Basic Data.;
1955;TCP, UDP;ABR-Secure Data.;
1956;TCP, UDP;Vertel VMF DS.;
1957;TCP, UDP;unix-status.;
1958;TCP, UDP;CA Administration Daemon.;
1959;TCP, UDP;SIMP Channel.;
1960;TCP, UDP;Merit DAC NASmanager.;
1961;TCP, UDP;BTS APPSERVER.;
1962;TCP, UDP;BIAP-MP.;
1963;TCP, UDP;WebMachine.;
1964;TCP, UDP;SOLID E ENGINE.;
1965;TCP, UDP;Tivoli NPM.;
1966;TCP, UDP;Slush.;
1967;TCP, UDP;SNS Quote.;
1968;TCP, UDP;LIPSinc.;
1969;TCP, UDP;LIPSinc 1.;
1970;TCP, UDP;NetOp Remote Control.;
1971;TCP, UDP;NetOp School.;
1972;TCP, UDP;Cache.;
1973;TCP, UDP;DCAP, Data Link Switching Client Access Protocol, DRAP, Data Link Switching Remote Access Protocol.;
1974;TCP, UDP;DRP.;
1975;TCP, UDP;TCO Flash Agent.;
1976;TCP, UDP;TCO Reg Agent.;
1977;TCP, UDP;TCO Address Book.;
1978;TCP, UDP;UniSQL.;
1979;TCP, UDP;UniSQL Java.;
1980;TCP, UDP;PearlDoc XACT.;
1981;TCP, UDP;p2pQ.;
1982;TCP, UDP;Evidentiary Timestamp.;
1983;TCP, UDP;Loophole Test Protocol.;
1984;TCP, UDP;Big Brother.;
1985;TCP, UDP;HSRP, Hot Standby Router Protocol.;
1986;TCP, UDP;cisco license management.;
1987;TCP, UDP;cisco RSRB Priority 1 port.;
1988;TCP, UDP;cisco RSRB Priority 2 port.;
1989;TCP, UDP;cisco RSRB Priority 3 port, MHSnet system ;
1990;TCP, UDP;cisco STUN Priority 1 port.;
1991;TCP, UDP;cisco STUN Priority 2 port.;
1992;TCP, UDP;cisco STUN Priority 3 port, Ipsendmsg;
1993;TCP, UDP;cisco SNMP TCP.;
1994;TCP, UDP;cisco serial tunnel port.;
1995;TCP, UDP;cisco perf port.;
1996;TCP, UDP;cisco Remote SRB port.;
1997;TCP, UDP;GDP, Gateway Discovery Protocol.;
1998;TCP, UDP;XOT, X.25 over TCP.;
1999;TCP, UDP;cisco identification port.;
2000;TCP, UDP;SCCP, Skinny Call Control Protocol.;
2001;TCP;dc.;
2001;UDP;curry.;
2002;TCP, UDP;globe.;
2003;TCP, UDP;Brutus Server.;
2004;TCP;mailbox.;
2004;UDP;CCWS mm conf.;
2005;TCP;berknet.;
2005;UDP;oracle.;
2006;TCP;invokator.;
2006;UDP;raid.;
2007;TCP;dectalk.;
2007;UDP;raid-am.;
2008;TCP;conf.;
2008;UDP;terminaldb.;
2009;TCP;news.;
2009;UDP;whosockami.;
2010;TCP;search.;
2010;UDP;pipe_server.;
2011;TCP;raid.;
2011;UDP;servserv.;
2012;TCP;ttyinfo.;
2012;UDP;raid-ac.;
2013;TCP;raid-am.;
2013;UDP;raid-cd.;
2014;TCP;troff.;
2014;UDP;raid-sf.;
2015;TCP;cypress.;
2015;UDP;raid-cs.;
2016;TCP, UDP;bootserver.;
2017;TCP;cypress-stat.;
2017;UDP;bootclient.;
2018;TCP;terminaldb.;
2018;UDP;rellpack.;
2019;TCP;whosockami.;
2019;UDP;about.;
2020;TCP, UDP;xinupageserver.;
2021;TCP;servexec.;
2021;UDP;xinuexpansion1.;
2022;TCP;down.;
2022;UDP;xinuexpansion2.;
2023;TCP, UDP;xinuexpansion3.;
2024;TCP, UDP;xinuexpansion4.;
2025;TCP;ellpack.;
2025;UDP;xribs.;
2026;TCP, UDP;scrabble.;
2027;TCP, UDP;shadowserver.;
2028;TCP, UDP;submitserver.;
2029;TCP, UDP;Hot Standby Router Protocol IPv6.;
2030;TCP, UDP;device2.;
2031;TCP, UDP;mobrien-chat.;
2032;TCP, UDP;blackboard.;
2033;TCP, UDP;glogger.;
2034;TCP, UDP;scoremgr.;
2035;TCP, UDP;imsldoc.;
2036;TCP, UDP;Ethernet WS DP network.;
2037;TCP, UDP;APplus Application Server.;
2038;TCP, UDP;objectmanager.;
2039;TCP, UDP;Prizma Monitoring Service.;
2040;TCP, UDP;lam.;
2041;TCP, UDP;interbase.;
2042;TCP, UDP;isis.;
2043;TCP, UDP;isis-bcast.;
2044;TCP, UDP;rims1.;
2045;TCP, UDP;cdfunc.;
2046;TCP, UDP;sdfunc.;
2047;TCP, UDP;dls.;
2048;TCP, UDP;dls-monitor.;
2049;TCP, UDP;NFS, WebNFS.;
2050;TCP, UDP;Avaya EMB Config Port.;
2051;TCP, UDP;EPNSDP.;
2052;TCP, UDP;clearVisn Services Port.;
2053;TCP, UDP;Lot105 DSuper Updates.;
2054;TCP, UDP;Weblogin Port.;
2055;TCP, UDP;Iliad-Odyssey Protocol.;
2056;TCP, UDP;OmniSky Port.;
2057;TCP, UDP;Rich Content Protocol.;
2058;TCP, UDP;NewWaveSearchables RMI.;
2059;TCP, UDP;BMC Messaging Service.;
2060;TCP, UDP;Telenium Daemon IF.;
2061;TCP, UDP;NetMount.;
2062;TCP, UDP;ICG SWP Port.;
2063;TCP, UDP;ICG Bridge Port.;
2064;TCP, UDP;ICG IP Relay Port.;
2065;TCP, UDP;SSP, Switch-to-Switch Protocol, read.;
2066;TCP, UDP;AVM USB Remote Architecture.;
2067;TCP, UDP;SSP, Switch-to-Switch Protocol, write.;
2068;TCP, UDP;Avocent AuthSrv Protocol.;
2069;TCP, UDP;HTTP Event Port.;
2070;TCP, UDP;AH and ESP Encapsulated in UDP packet.;
2071;TCP, UDP;Axon Control Protocol.;
2072;TCP, UDP;GlobeCast mSync.;
2073;TCP, UDP;Variable Block Socket.;
2074;TCP, UDP;Vertel VMF SA.;
2075;TCP, UDP;Newlix ServerWare Engine.;
2076;TCP, UDP;Newlix JSPConfig.;
2077;TCP, UDP;TrelliSoft Agent.;
2078;TCP, UDP;TrelliSoft Server.;
2079;TCP, UDP;IDWARE Router Port.;
2080;TCP, UDP;Autodesk NLM (FLEXlm).;
2081;TCP, UDP;KME PRINTER TRAP PORT.;
2082;TCP, UDP;Infowave Mobility Server.;
2083;TCP, UDP;Secure Radius Service.;
2084;TCP, UDP;SunCluster Geographic.;
2085;TCP, UDP;ADA Control.;
2086;TCP, UDP;GNUnet.;
2087;TCP, UDP;ELI, Event Logging Integration.;
2088;TCP, UDP;IP Busy Lamp Field.;
2089;TCP, UDP;SEP, Security Encapsulation Protocol.;
2090;TCP, UDP;Load Report Protocol.;
2091;TCP, UDP;PRP.;
2092;TCP, UDP;Descent 3.;
2093;TCP, UDP;NBX CC.;
2094;TCP, UDP;NBX AU.;
2095;TCP, UDP;NBX SER.;
2096;TCP, UDP;NBX DIR.;
2097;TCP, UDP;Jet Form Preview.;
2098;TCP, UDP;Dialog Port.;
2099;TCP, UDP;H.225.0 Annex G.;
2100;TCP, UDP;amiganetfs.;
2101;TCP, UDP;rtcm-sc104.;
2102;TCP, UDP;Zephyr server.;
2103;TCP, UDP;Zephyr serv - hm connection.;
2104;TCP, UDP;Zephyr hostmanager.;
2105;TCP, UDP;MiniPay.;
2106;TCP, UDP;MZAP, Multicast-Scope Zone Announcement Protocol.;
2107;TCP, UDP;BinTec Admin.;
2108;TCP, UDP;Comcam.;
2109;TCP, UDP;Ergolight.;
2110;TCP, UDP;UMSP, Unified Memory Space Protocol.;
2111;TCP, UDP;OPNET Dynamic Sampling Agent Transaction Protocol.;
2112;TCP, UDP;Idonix MetaNet.;
2113;TCP, UDP;HSL StoRM.;
2114;TCP, UDP;NEWHEIGHTS.;
2115;TCP, UDP;KDM.;
2116;TCP, UDP;CCOWCMR.;
2117;TCP, UDP;MENTACLIENT.;
2118;TCP, UDP;MENTASERVER.;
2119;TCP, UDP;GSIGATEKEEPER.;
2120;TCP, UDP;Quick Eagle Networks CP.;
2121;TCP, UDP;SCIENTIA-SSDB.;
2122;TCP, UDP;CauPC Remote Control.;
2123;TCP, UDP;GTP-Control Plane (3GPP).;
2124;TCP, UDP;ELATELINK.;
2125;TCP, UDP;LOCKSTEP.;
2126;TCP, UDP;PktCable-COPS.;
2127;TCP, UDP;INDEX-PC-WB.;
2128;TCP, UDP;Net Steward Control.;
2129;TCP, UDP;cs-live.com.;
2130;TCP, UDP;SWC-XDS.;
2131;TCP, UDP;Avantageb2b.;
2132;TCP, UDP;AVAIL-EPMAP.;
2133;TCP, UDP;ZYMED-ZPP.;
2134;TCP, UDP;AVENUE.;
2135;TCP, UDP;Grid Resource Information Server.;
2136;TCP, UDP;APPWORXSRV.;
2137;TCP, UDP;CONNECT.;
2138;TCP, UDP;UNBIND-CLUSTER.;
2139;TCP, UDP;IAS-AUTH.;
2140;TCP, UDP;IAS-REG.;
2141;TCP, UDP;IAS-ADMIND.;
2142;TCP, UDP;TDMoIP, TDM Over IP.;
2143;TCP, UDP;Live Vault Job Control.;
2144;TCP, UDP;Live Vault Fast Object Transfer.;
2145;TCP, UDP;Live Vault Remote Diagnostic Console Support.;
2146;TCP, UDP;Live Vault Admin Event Notification.;
2147;TCP, UDP;Live Vault Authentication.;
2148;TCP, UDP;VERITAS UNIVERSAL COMMUNICATION LAYER.;
2149;TCP, UDP;ACPTSYS.;
2150;TCP, UDP;DYNAMIC3D.;
2151;TCP, UDP;DOCENT.;
2152;TCP, UDP;GTP-User Plane (3GPP).;
2153;TCP, UDP;Control Protocol.;
2154;TCP, UDP;Standard Protocol.;
2155;TCP, UDP;Bridge Protocol.;
2156;TCP, UDP;Talari Reliable Protocol.;
2157;TCP, UDP;Xerox Network Document Scan Protocol.;
2158;TCP, UDP;TouchNetPlus Service.;
2159;TCP, UDP;GDB Remote Debug Port.;
2160;TCP, UDP;APC Central Mgmt Server.;
2161;TCP, UDP;APC Agent.;
2162;TCP, UDP;Navisphere.;
2163;TCP, UDP;Navisphere Secure.;
2164;TCP, UDP;Dynamic DNS Version 3.;
2165;TCP, UDP;X-Bone API.;
2166;TCP, UDP;IWSERVER.;
2167;TCP, UDP;Raw Async Serial Link.;
2168;TCP, UDP;easy-soft Multiplexer.;
2169;TCP, UDP;ArchisFCP.;
2170;TCP, UDP;EyeTV Server Port.;
2171;TCP, UDP;MS Firewall Storage.;
2172;TCP, UDP;MS Firewall SecureStorage.;
2173;TCP, UDP;MS Firewall Replication.;
2174;TCP, UDP;MS Firewall Intra Array.;
2175;TCP, UDP;Microsoft Desktop AirSync Protocol.;
2176;TCP, UDP;Microsoft ActiveSync Remote API.;
2177;TCP, UDP;qWAVE Bandwidth Estimate.;
2178;TCP, UDP;Peer Services for BITS.;
2179;TCP, UDP;Microsoft RDP for virtual machines.;
2180;TCP, UDP;Millicent Vendor Gateway Server.;
2181;TCP, UDP;eforward.;
2182;TCP, UDP;CGN status.;
2183;TCP, UDP;Code Green configuration.;
2184;TCP, UDP;NVD User.;
2185;TCP, UDP;OnBase Distributed Disk Services.;
2186;TCP, UDP;Guy-Tek Automated Update Applications.;
2187;TCP, UDP;Sepehr System Management.;
2188;TCP;Radware Resource Pool Manager.;
2189;TCP;Secure Radware Resource Pool Manager.;
2190;TCP, UDP;TiVoConnect Beacon.;
2191;TCP, UDP;TvBus Messaging.;
2192;TCP, UDP;ASDIS software management.;
2193;TCP, UDP;Dr.Web Enterprise Management Service.;
2197;TCP, UDP;MNP data exchange.;
2198;TCP, UDP;OneHome Remote Access.;
2199;TCP, UDP;OneHome Service Port.;
2200;TCP, UDP;ICI.;
2201;TCP, UDP;Advanced Training System Program.;
2202;TCP, UDP;Int. Multimedia Teleconferencing Cosortium.;
2203;TCP, UDP;b2 Runtime Protocol.;
2204;TCP, UDP;b2 License Server.;
2205;TCP, UDP;Java Presentation Server.;
2206;TCP, UDP;HP OpenCall bus.;
2207;TCP, UDP;HP Status and Services.;
2208;TCP, UDP;HP I/O Backend.;
2209;TCP, UDP;HP RIM for Files Portal Service.;
2210;TCP, UDP;NOAAPORT Broadcast Network.;
2211;TCP, UDP;EMWIN.;
2212;TCP, UDP;LeeCO POS Server Service.;
2213;TCP, UDP;Kali.;
2214;TCP, UDP;RDQ Protocol Interface.;
2215;TCP, UDP;IPCore.co.za GPRS.;
2216;TCP, UDP;VTU data service.;
2217;TCP, UDP;GoToDevice Device Management.;
2218;TCP, UDP;Bounzza IRC Proxy.;
2219;TCP, UDP;NetIQ NCAP Protocol.;
2220;TCP, UDP;NetIQ End2End.;
2221;TCP, UDP;Rockwell CSP1;
2222;TCP, UDP;Rockwell CSP2;
2223;TCP, UDP;Rockwell CSP3;
2224;TCP, UDP;Easy Flexible Internet/Multiplayer Games.;
2225;TCP, UDP;Resource Connection Initiation Protocol.;
2226;TCP, UDP;Digital Instinct DRM.;
2227;TCP, UDP;DI Messaging Service.;
2228;TCP, UDP;eHome Message Server.;
2229;TCP, UDP;DataLens Service.;
2230;TCP, UDP;Brave Coda Administration Service.;
2231;TCP, UDP;WiMAX ASN Control Plane Protocol.;
2232;TCP, UDP;IVS Video default.;
2233;TCP, UDP;INFOCRYPT;
2234;TCP, UDP;DirectPlay;
2235;TCP, UDP;Sercomm-WLink;
2236;TCP, UDP;Nani;
2237;TCP, UDP;Optech Port1 License Manager;
2238;TCP, UDP;AVIVA SNA SERVER;
2239;TCP, UDP;Image Query;
2240;TCP, UDP;RECIPe;
2241;TCP, UDP;IVS Daemon;
2242;TCP, UDP;Folio Remote Server;
2243;TCP, UDP;Magicom Protocol.;
2244;TCP, UDP;NMS Server.;
2245;TCP, UDP;HaO.;
2246;TCP, UDP;PacketCable MTA Addr Map.;
2247;TCP, UDP;Antidote Deployement Manager Service.;
2248;TCP, UDP;User Management Service.;
2249;TCP, UDP;RISO File Manager Protocol.;
2250;TCP, UDP;remote-collab.;
2251;TCP, UDP;Distributed Framework Port.;
2252;TCP, UDP;NJENET using SSL.;
2253;TCP, UDP;DTV-CCP, Digital TV Channel Changing Protocol.;
2254;TCP, UDP;Seismic P.O.C. Port.;
2255;TCP, UDP;VRTP, ViRtue Transfer Protocol.;
2256;TCP, UDP;PCC MFP.;
2257;TCP, UDP;simple text/file transfer.;
2258;TCP, UDP;Rotorcraft Communications Test System.;
2259;TCP, UDP;Accedian Performance Measurement.;
2260;TCP, UDP;APC Console Comm Port.;
2261;TCP, UDP;CoMotion Master Server.;
2262;TCP, UDP;CoMotion Backup Server.;
2263;TCP, UDP;ECweb Configuration Service.;
2264;TCP, UDP;Audio Precision Apx500 API Port 1.;
2265;TCP, UDP;Audio Precision Apx500 API Port 2.;
2266;TCP, UDP;M-Files Server.;
2267;TCP, UDP;OntoBroker.;
2268;TCP, UDP;AMT, Automatic IP Multicast Without Explicit Tunnels.;
2269;TCP, UDP;MIKEY, Multimedia Internet KEYing.;
2270;TCP, UDP;starSchool.;
2271;TCP, UDP;Secure Meeting Maker Scheduling.;
2272;TCP, UDP;Meeting Maker Scheduling.;
2273;TCP, UDP;MySQL Instance Manager.;
2274;TCP, UDP;PCTTunneller.;
2275;TCP, UDP;iBridge Conferencing.;
2276;TCP, UDP;iBridge Management.;
2277;TCP, UDP;Bt device control proxy.;
2278;TCP, UDP;Simple Stacked Sequences Database.;
2279;TCP, UDP;xmquery.;
2280;TCP, UDP;LNVPOLLER.;
2281;TCP, UDP;LNVCONSOLE.;
2282;TCP, UDP;LNVALARM.;
2283;TCP, UDP;LNVSTATUS.;
2284;TCP, UDP;LNVMAPS.;
2285;TCP, UDP;LNVMAILMON.;
2286;TCP, UDP;NAS-Metering.;
2287;TCP, UDP;DNA.;
2288;TCP, UDP;NETML.;
2289;TCP, UDP;Lookup dict server.;
2290;TCP, UDP;Sonus Logging Services.;
2291;TCP, UDP;EPSON Advanced Printer Share Protocol.;
2292;TCP, UDP;Sonus Element Management Services.;
2293;TCP, UDP;Network Platform Debug Manager.;
2294;TCP, UDP;Konshus License Manager (FLEX).;
2295;TCP, UDP;Advant License Manager.;
2296;TCP, UDP;Theta License Manager (Rainbow).;
2297;TCP, UDP;D2K DataMover 1.;
2298;TCP, UDP;D2K DataMover 2.;
2299;TCP, UDP;PC Telecommute.;
2300;TCP, UDP;CVMMON.;
2301;TCP, UDP;Compaq HTTP.;
2302;TCP, UDP;Bindery Support.;
2303;TCP, UDP;Proxy Gateway.;
2304;TCP, UDP;Attachmate UTS.;
2305;TCP, UDP;MT ScaleServer.;
2306;TCP, UDP;TAPPI BoxNet.;
2307;TCP, UDP;pehelp.;
2308;TCP, UDP;sdhelp.;
2309;TCP, UDP;SD Server.;
2310;TCP, UDP;SD Client.;
2311;TCP, UDP;Message Service.;
2312;TCP, UDP;WANScaler Communication Service.;
2313;TCP, UDP;IAPP, Inter Access Point Protocol.;
2314;TCP, UDP;CR WebSystems;
2315;TCP, UDP;Precise Sft.;
2316;TCP, UDP;SENT License Manager;
2317;TCP, UDP;Attachmate G32;
2318;TCP, UDP;Cadence Control;
2319;TCP, UDP;InfoLibria;
2320;TCP, UDP;Siebel NS.;
2321;TCP, UDP;RDLAP.;
2322;TCP, UDP;ofsd.;
2323;TCP, UDP;3d-nfsd.;
2324;TCP, UDP;Cosmocall.;
2325;TCP, UDP;ANSYS Licensing Interconnect.;
2326;TCP, UDP;IDCP.;
2327;TCP, UDP;xingcsm.;
2328;TCP, UDP;Netrix SFTM;
2329;TCP, UDP;NVD;
2330;TCP, UDP;TSCCHAT;
2331;TCP, UDP;AGENTVIEW;
2332;TCP, UDP;RCC Host;
2333;TCP, UDP;SNAPP;
2334;TCP, UDP;ACE Client Auth;
2335;TCP, UDP;ACE Proxy;
2336;TCP, UDP;Apple UG Control;
2337;TCP, UDP;ideesrv;
2338;TCP, UDP;Norton Lambert;
2339;TCP, UDP;3Com WebView;
2340;TCP, UDP;WRS Registry;
2341;TCP, UDP;XIO Status;
2342;TCP, UDP;Seagate Manage Exec;
2343;TCP, UDP;nati logos;
2344;TCP, UDP;fcmsys;
2345;TCP, UDP;dbm;
2346;TCP, UDP;Game Connection Port;
2347;TCP, UDP;Game Announcement and Location;
2348;TCP, UDP;Info to query for game statue;
2349;TCP, UDP;Diagnostics Port;
2350;TCP, UDP;psbserver;
2351;TCP, UDP;psrserver;
2352;TCP, UDP;pslserver;
2353;TCP, UDP;pspserver;
2354;TCP, UDP;psprserver;
2355;TCP, UDP;psdbserver;
2356;TCP, UDP;GXT License Management;
2357;TCP, UDP;UniHub Server;
2358;TCP, UDP;Futrix;
2359;TCP, UDP;FlukeServer;
2360;TCP, UDP;NexstorIndLtd.;
2361;TCP, UDP;TL1;
2362;TCP, UDP;digiman.;
2363;TCP, UDP;Media Central NFSD.;
2364;TCP, UDP;OI-2000.;
2365;TCP, UDP;dbref.;
2366;TCP, UDP;qip-login.;
2367;TCP, UDP;Service Control.;
2368;TCP, UDP;OpenTable.;
2370;TCP, UDP;L3-HBMon;
2371;TCP, UDP;Compaq WorldWire Port.;
2372;TCP, UDP;LanMessenger.;
2373;TCP, UDP;Remograph License Manager.;
2374;TCP, UDP;Hydra RPC.;
2381;TCP, UDP;Compaq HTTPS.;
2382;TCP, UDP;Microsoft OLAP.;
2383;TCP, UDP;Microsoft OLAP.;
2384;TCP, UDP;SD-REQUEST. SD-CAPACITY.;
2385;TCP, UDP;SD-DATA.;
2386;TCP, UDP;Virtual Tape.;
2387;TCP, UDP;VSAM Redirector.;
2388;TCP, UDP;MYNAH AutoStart.;
2389;TCP, UDP;OpenView Session Manager.;
2390;TCP, UDP;RSMTP.;
2391;TCP, UDP;3COM Net Management.;
2392;TCP, UDP;Tactical Auth.;
2393;TCP, UDP;MS OLAP 1.;
2394;TCP, UDP;MS OLAP 2.;
2395;TCP, UDP;LAN900 Remote.;
2396;TCP, UDP;Wusage.;
2397;TCP, UDP;NCL.;
2398;TCP, UDP;Orbiter.;
2399;TCP, UDP;FileMaker Inc. - Data Access Layer.;
2400;TCP, UDP;OpEquus Server.;
2401;TCP, UDP;cvspserver.;
2402;TCP, UDP;TaskMaster 2000 Server.;
2403;TCP, UDP;TaskMaster 2000 Web.;
2404;TCP, UDP;IEC870-5-104;
2405;TCP, UDP;TRC Netpoll;
2406;TCP, UDP;JediServer;
2407;TCP, UDP;Orion;
2408;TCP;CloudFlare Railgun Web Acceleration Protocol.;
2409;TCP, UDP;SNS Protocol;
2410;TCP, UDP;VRTS Registry;
2411;TCP, UDP;Netwave AP management;
2412;TCP, UDP;CDN;
2413;TCP, UDP;orion-rmi-reg;
2414;TCP, UDP;Interlingua;
2415;TCP, UDP;COMTEST;
2416;TCP, UDP;RMT Server;
2417;TCP, UDP;Composit Server;
2418;TCP, UDP;cas;
2419;TCP, UDP;Attachmate S2S;
2420;TCP, UDP;DSL Remote Management;
2421;TCP, UDP;G-Talk;
2422;TCP, UDP;CRMSBITS;
2423;TCP, UDP;RNRP;
2424;TCP, UDP;KOFAX-SVR;
2425;TCP, UDP;Fujitsu Appl. Manager;
2427;TCP, UDP;MGCP, Multimedia Gateway Control Protocol, gateway.;
2428;TCP, UDP;One Way Trip Time.;
2429;TCP, UDP;FT-Role;
2430;TCP, UDP;venus;
2431;TCP, UDP;venus-se;
2432;TCP, UDP;codasrv;
2433;TCP, UDP;codasrv-se;
2434;TCP, UDP;pxc-epmap;
2435;TCP, UDP;OptiLogic;
2436;TCP, UDP;TOP/X;
2437;TCP, UDP;UniControl;
2438;TCP, UDP;MSP;
2439;TCP, UDP;SybaseDBSynch;
2440;TCP, UDP;Spearway Lockers;
2441;TCP, UDP;pvsw-inet;
2442;TCP, UDP;Netangel;
2443;TCP, UDP;PowerClient Central Storage Facility;
2444;TCP, UDP;BT PP2 Sectrans;
2445;TCP, UDP;DTN1;
2446;TCP, UDP;bues_service;
2447;TCP, UDP;OpenView NNM daemon;
2448;TCP, UDP;hpppsvr;
2449;TCP, UDP;RATL;
2450;TCP, UDP;netadmin;
